"location","date","vaccine","total_vaccinations","id"
"Argentina","2020-12-29","Moderna",2,1
"Argentina","2020-12-29","Oxford/AstraZeneca",6,2
"Argentina","2020-12-29","Sinopharm/Beijing",1,3
"Argentina","2020-12-29","Sputnik V",20482,4
"Argentina","2020-12-30","Moderna",2,5
"Argentina","2020-12-30","Oxford/AstraZeneca",6,6
"Argentina","2020-12-30","Sinopharm/Beijing",1,7
"Argentina","2020-12-30","Sputnik V",40584,8
"Argentina","2020-12-31","Moderna",2,9
"Argentina","2020-12-31","Oxford/AstraZeneca",6,10
"Argentina","2020-12-31","Sinopharm/Beijing",1,11
"Argentina","2020-12-31","Sputnik V",43389,12
"Argentina","2021-01-01","Moderna",2,13
"Argentina","2021-01-01","Oxford/AstraZeneca",8,14
"Argentina","2021-01-01","Sinopharm/Beijing",1,15
"Argentina","2021-01-01","Sputnik V",43514,16
"Argentina","2021-01-02","Moderna",2,17
"Argentina","2021-01-02","Oxford/AstraZeneca",9,18
"Argentina","2021-01-02","Sinopharm/Beijing",1,19
"Argentina","2021-01-02","Sputnik V",46825,20
"Argentina","2021-01-03","Moderna",2,21
"Argentina","2021-01-03","Oxford/AstraZeneca",9,22
"Argentina","2021-01-03","Sinopharm/Beijing",1,23
"Argentina","2021-01-03","Sputnik V",47267,24
"Argentina","2021-01-04","Moderna",2,25
"Argentina","2021-01-04","Oxford/AstraZeneca",9,26
"Argentina","2021-01-04","Sinopharm/Beijing",1,27
"Argentina","2021-01-04","Sputnik V",57727,28
"Argentina","2021-01-05","Moderna",2,29
"Argentina","2021-01-05","Oxford/AstraZeneca",9,30
"Argentina","2021-01-05","Sinopharm/Beijing",5,31
"Argentina","2021-01-05","Sputnik V",68449,32
"Argentina","2021-01-06","Moderna",2,33
"Argentina","2021-01-06","Oxford/AstraZeneca",9,34
"Argentina","2021-01-06","Sinopharm/Beijing",8,35
"Argentina","2021-01-06","Sputnik V",78554,36
"Argentina","2021-01-07","Moderna",2,37
"Argentina","2021-01-07","Oxford/AstraZeneca",10,38
"Argentina","2021-01-07","Sinopharm/Beijing",8,39
"Argentina","2021-01-07","Sputnik V",96775,40
"Argentina","2021-01-08","Moderna",2,41
"Argentina","2021-01-08","Oxford/AstraZeneca",10,42
"Argentina","2021-01-08","Sinopharm/Beijing",8,43
"Argentina","2021-01-08","Sputnik V",124659,44
"Argentina","2021-01-09","Moderna",2,45
"Argentina","2021-01-09","Oxford/AstraZeneca",10,46
"Argentina","2021-01-09","Sinopharm/Beijing",9,47
"Argentina","2021-01-09","Sputnik V",134866,48
"Argentina","2021-01-10","Moderna",2,49
"Argentina","2021-01-10","Oxford/AstraZeneca",10,50
"Argentina","2021-01-10","Sinopharm/Beijing",10,51
"Argentina","2021-01-10","Sputnik V",136040,52
"Argentina","2021-01-11","Moderna",2,53
"Argentina","2021-01-11","Oxford/AstraZeneca",11,54
